userId,movieId,rating
1,7,3
1,16,1
1,11,5
1,24,3
1,21,3
1,3,2
1,12,1
1,18,5
2,8,2
2,9,3
2,29,3
2,10,1
2,6,3
2,22,1
2,25,4
2,2,4
2,11,5
2,20,4
2,3,2
2,24,5
2,16,3
2,14,2
3,23,2
3,6,4
3,14,4
3,26,1
3,10,5
3,4,1
3,25,5
3,28,1
3,3,4
3,16,4
3,2,4
3,19,4
3,12,3
3,27,4
3,9,2
4,25,3
4,27,5
4,3,2
4,19,2
4,17,3
4,11,5
4,12,5
4,10,1
4,1,2
4,4,5
4,14,1
4,6,5
4,18,2
4,9,5
5,21,4
5,27,4
5,14,3
5,30,4
5,10,1
5,12,5
5,15,3
5,3,5
5,19,1
5,13,3
6,17,4
6,9,2
6,7,4
6,16,4
6,11,3
6,4,4
6,3,2
6,10,1
6,26,1
6,21,3
6,27,5
6,6,1
6,19,3
7,30,4
7,12,1
7,7,1
7,1,3
7,15,1
7,22,2
7,4,4
7,13,1
7,14,4
7,5,1
7,17,1
7,23,3
7,26,4
8,15,1
8,9,2
8,12,3
8,29,4
8,10,3
8,24,3
8,18,5
8,22,1
8,7,3
9,14,1
9,25,2
9,11,2
9,1,4
9,23,4
9,21,4
9,6,5
9,17,4
9,8,2
9,12,1
9,9,4
9,28,5
10,27,5
10,6,5
10,3,1
10,21,5
10,22,1
10,4,4
10,5,5
10,8,5
10,28,2
10,1,5
10,29,1
10,9,3
10,20,3
10,12,2
10,25,1
11,17,1
11,27,2
11,20,2
11,19,5
11,18,4
11,8,2
11,1,5
11,3,3
11,28,3
11,10,3
11,7,1
11,30,5
11,12,1
11,6,1
12,4,4
12,15,1
12,27,4
12,17,5
12,7,1
12,1,3
12,26,1
12,28,3
12,9,5
13,8,3
13,10,3
13,15,1
13,20,4
13,14,5
13,24,1
13,4,4
13,30,1
14,4,4
14,5,4
14,28,5
14,24,5
14,21,4
14,14,4
14,12,2
14,23,3
14,20,1
14,1,2
14,19,5
14,8,3
14,29,1
15,25,1
15,10,5
15,29,5
15,26,3
15,21,1
15,7,1
15,30,2
15,6,3
15,23,1
15,12,3
15,18,1
15,24,3
15,17,1
16,4,2
16,22,2
16,2,4
16,10,3
16,20,5
16,1,3
16,18,2
16,25,1
16,13,1
16,12,2
16,26,5
16,15,3
16,30,5
17,21,5
17,2,3
17,25,4
17,3,4
17,30,4
17,11,4
17,26,4
17,20,4
18,28,3
18,8,1
18,30,3
18,19,4
18,14,2
18,13,2
18,26,2
18,24,3
18,25,2
19,6,4
19,8,4
19,16,1
19,19,2
19,9,1
19,20,4
19,29,1
19,24,2
19,25,3
19,15,4
19,23,3
19,4,5
19,26,5
20,15,3
20,3,3
20,16,4
20,28,5
20,17,4
20,29,5
20,21,5
20,20,1
20,30,2
21,27,5
21,14,1
21,11,4
21,4,1
21,1,4
21,2,1
21,21,3
21,29,4
21,17,4
21,25,3
21,30,5
21,5,4
21,15,2
22,23,3
22,16,5
22,30,5
22,10,2
